season,value,anomaly,date
ASO 2009,27.47,0.71,2009-09-01
SON 2009,27.72,1.01,2009-10-01
OND 2009,28.03,1.36,2009-11-01
NDJ 2009,28.18,1.56,2009-12-01
DJF 2010,28.14,1.5,2010-01-01
JFM 2010,28.09,1.22,2010-02-01
FMA 2010,28.14,0.84,2010-03-01
MAM 2010,28.04,0.35,2010-04-01
AMJ 2010,27.66,-0.17,2010-05-01
MJJ 2010,27.0,-0.66,2010-06-01
JJA 2010,26.25,-1.05,2010-07-01
JAS 2010,25.61,-1.35,2010-08-01
ASO 2010,25.21,-1.56,2010-09-01
SON 2010,25.07,-1.64,2010-10-01
OND 2010,25.03,-1.64,2010-11-01
NDJ 2010,25.02,-1.59,2010-12-01
DJF 2011,25.22,-1.42,2011-01-01
JFM 2011,25.68,-1.19,2011-02-01
FMA 2011,26.37,-0.93,2011-03-01
MAM 2011,26.95,-0.73,2011-04-01
AMJ 2011,27.28,-0.55,2011-05-01
MJJ 2011,27.21,-0.44,2011-06-01
JJA 2011,26.81,-0.48,2011-07-01
JAS 2011,26.33,-0.62,2011-08-01
ASO 2011,25.93,-0.83,2011-09-01
SON 2011,25.7,-1.01,2011-10-01
OND 2011,25.58,-1.09,2011-11-01
NDJ 2011,25.58,-1.04,2011-12-01
DJF 2012,25.77,-0.86,2012-01-01
JFM 2012,26.15,-0.72,2012-02-01
FMA 2012,26.71,-0.59,2012-03-01
MAM 2012,27.21,-0.47,2012-04-01
AMJ 2012,27.57,-0.26,2012-05-01
MJJ 2012,27.64,-0.01,2012-06-01
JJA 2012,27.54,0.25,2012-07-01
JAS 2012,27.32,0.37,2012-08-01
ASO 2012,27.13,0.37,2012-09-01
SON 2012,26.98,0.27,2012-10-01
OND 2012,26.73,0.05,2012-11-01
NDJ 2012,26.41,-0.21,2012-12-01
DJF 2013,26.21,-0.43,2013-01-01
JFM 2013,26.44,-0.43,2013-02-01
FMA 2013,26.96,-0.34,2013-03-01
MAM 2013,27.38,-0.3,2013-04-01
AMJ 2013,27.47,-0.36,2013-05-01
MJJ 2013,27.24,-0.41,2013-06-01
JJA 2013,26.89,-0.4,2013-07-01
JAS 2013,26.64,-0.32,2013-08-01
ASO 2013,26.51,-0.26,2013-09-01
SON 2013,26.54,-0.18,2013-10-01
OND 2013,26.5,-0.17,2013-11-01
NDJ 2013,26.35,-0.27,2013-12-01
DJF 2014,26.22,-0.42,2014-01-01
JFM 2014,26.41,-0.46,2014-02-01
FMA 2014,27.03,-0.27,2014-03-01
MAM 2014,27.73,0.04,2014-04-01
AMJ 2014,28.04,0.21,2014-05-01
MJJ 2014,27.82,0.16,2014-06-01
JJA 2014,27.34,0.05,2014-07-01
JAS 2014,27.02,0.07,2014-08-01
ASO 2014,27.0,0.23,2014-09-01
SON 2014,27.21,0.49,2014-10-01
OND 2014,27.31,0.64,2014-11-01
NDJ 2014,27.28,0.66,2014-12-01
DJF 2015,27.19,0.55,2015-01-01
JFM 2015,27.34,0.47,2015-02-01
FMA 2015,27.82,0.53,2015-03-01
MAM 2015,28.38,0.7,2015-04-01
AMJ 2015,28.76,0.93,2015-05-01
MJJ 2015,28.83,1.18,2015-06-01
JJA 2015,28.81,1.52,2015-07-01
JAS 2015,28.82,1.86,2015-08-01
ASO 2015,28.93,2.16,2015-09-01
SON 2015,29.14,2.42,2015-10-01
OND 2015,29.25,2.57,2015-11-01
NDJ 2015,29.26,2.64,2015-12-01
DJF 2016,29.12,2.48,2016-01-01
JFM 2016,29.01,2.14,2016-02-01
FMA 2016,28.88,1.58,2016-03-01
MAM 2016,28.62,0.94,2016-04-01
AMJ 2016,28.22,0.39,2016-05-01
MJJ 2016,27.59,-0.07,2016-06-01
JJA 2016,26.93,-0.36,2016-07-01
JAS 2016,26.42,-0.54,2016-08-01
ASO 2016,26.14,-0.63,2016-09-01
SON 2016,26.02,-0.69,2016-10-01
OND 2016,26.01,-0.67,2016-11-01
NDJ 2016,26.06,-0.56,2016-12-01
DJF 2017,26.3,-0.34,2017-01-01
JFM 2017,26.71,-0.16,2017-02-01
FMA 2017,27.35,0.05,2017-03-01
MAM 2017,27.89,0.2,2017-04-01
AMJ 2017,28.13,0.3,2017-05-01
MJJ 2017,27.97,0.31,2017-06-01
JJA 2017,27.43,0.14,2017-07-01
JAS 2017,26.84,-0.11,2017-08-01
ASO 2017,26.38,-0.38,2017-09-01
SON 2017,26.06,-0.65,2017-10-01
OND 2017,25.84,-0.84,2017-11-01
NDJ 2017,25.64,-0.97,2017-12-01
DJF 2018,25.72,-0.92,2018-01-01
JFM 2018,26.02,-0.85,2018-02-01
FMA 2018,26.6,-0.7,2018-03-01
MAM 2018,27.18,-0.5,2018-04-01
AMJ 2018,27.61,-0.22,2018-05-01
MJJ 2018,27.64,-0.01,2018-06-01
JJA 2018,27.38,0.09,2018-07-01
JAS 2018,27.18,0.23,2018-08-01
ASO 2018,27.25,0.49,2018-09-01
SON 2018,27.47,0.76,2018-10-01
OND 2018,27.57,0.9,2018-11-01
NDJ 2018,27.43,0.81,2018-12-01
DJF 2019,27.39,0.75,2019-01-01
JFM 2019,27.59,0.72,2019-02-01
FMA 2019,28.01,0.71,2019-03-01
MAM 2019,28.34,0.66,2019-04-01
AMJ 2019,28.37,0.54,2019-05-01
MJJ 2019,28.1,0.45,2019-06-01
JJA 2019,27.57,0.28,2019-07-01
JAS 2019,27.1,0.14,2019-08-01
ASO 2019,26.95,0.19,2019-09-01
SON 2019,27.06,0.35,2019-10-01
OND 2019,27.18,0.51,2019-11-01
NDJ 2019,27.17,0.55,2019-12-01
DJF 2020,27.14,0.5,2020-01-01
JFM 2020,27.35,0.48,2020-02-01
FMA 2020,27.7,0.4,2020-03-01
MAM 2020,27.87,0.19,2020-04-01
AMJ 2020,27.75,-0.08,2020-05-01
MJJ 2020,27.35,-0.3,2020-06-01
JJA 2020,26.88,-0.41,2020-07-01
JAS 2020,26.38,-0.57,2020-08-01
ASO 2020,25.87,-0.89,2020-09-01
SON 2020,25.54,-1.17,2020-10-01
OND 2020,25.4,-1.27,2020-11-01
NDJ 2020,25.43,-1.19,2020-12-01
DJF 2021,25.59,-1.05,2021-01-01
JFM 2021,25.94,-0.93,2021-02-01
FMA 2021,26.46,-0.84,2021-03-01
MAM 2021,27.03,-0.66,2021-04-01
AMJ 2021,27.35,-0.48,2021-05-01
MJJ 2021,27.28,-0.38,2021-06-01
JJA 2021,26.89,-0.4,2021-07-01
JAS 2021,26.46,-0.49,2021-08-01
ASO 2021,26.09,-0.67,2021-09-01
SON 2021,25.9,-0.81,2021-10-01
OND 2021,25.69,-0.98,2021-11-01
NDJ 2021,25.63,-0.98,2021-12-01
DJF 2022,25.67,-0.97,2022-01-01
JFM 2022,25.94,-0.93,2022-02-01
FMA 2022,26.31,-0.99,2022-03-01
MAM 2022,26.62,-1.06,2022-04-01
AMJ 2022,26.84,-0.99,2022-05-01
MJJ 2022,26.8,-0.85,2022-06-01
JJA 2022,26.48,-0.81,2022-07-01
JAS 2022,26.04,-0.91,2022-08-01
ASO 2022,25.75,-1.01,2022-09-01
SON 2022,25.72,-0.99,2022-10-01
OND 2022,25.76,-0.92,2022-11-01
NDJ 2022,25.79,-0.83,2022-12-01
DJF 2023,25.96,-0.68,2023-01-01
JFM 2023,26.44,-0.43,2023-02-01
FMA 2023,27.15,-0.15,2023-03-01
MAM 2023,27.85,0.16,2023-04-01
AMJ 2023,28.31,0.48,2023-05-01
MJJ 2023,28.42,0.77,2023-06-01
JJA 2023,28.36,1.07,2023-07-01
JAS 2023,28.28,1.32,2023-08-01
ASO 2023,28.32,1.56,2023-09-01
SON 2023,28.49,1.78,2023-10-01
OND 2023,28.6,1.92,2023-11-01
NDJ 2023,28.57,1.95,2023-12-01
DJF 2024,28.42,1.78,2024-01-01
JFM 2024,28.35,1.48,2024-02-01
FMA 2024,28.43,1.14,2024-03-01
MAM 2024,28.39,0.71,2024-04-01
AMJ 2024,28.22,0.39,2024-05-01
MJJ 2024,27.8,0.15,2024-06-01
JJA 2024,27.33,0.03,2024-07-01
JAS 2024,26.85,-0.11,2024-08-01
ASO 2024,26.55,-0.21,2024-09-01
SON 2024,26.45,-0.26,2024-10-01
OND 2024,26.3,-0.37,2024-11-01
NDJ 2024,26.09,-0.53,2024-12-01
DJF 2025,25.99,-0.64,2025-01-01
